"   ",EVENT_MONTH/EVENT_DAY,INEXACT_DATE_DESCRIPTION
1,01/41,January (1st 10 Days)
2,01/42,January (2nd 10 Days)
3,01/43,January (Last 10 Days)
4,01/99,January (Unknown Day)
5,02/41,February (1st 10 Days)
6,02/42,February (2nd 10 Days)
7,02/43,February (Last 10 Days)
8,02/99,February (Unknown Day)
9,03/41,March (1st 10 Days)
10,03/42,March (2nd 10 Days)
11,03/43,March (Last 10 Days)
12,03/99,March (Unknown Day)
13,04/41,April (1st 10 Days)
14,04/42,April (2nd 10 Days)
15,04/43,April (Last 10 Days)
16,04/99,April (Unknown Day)
17,05/41,May (1st 10 Days)
18,05/42,May (2nd 10 Days)
19,05/43,May (Last 10 Days)
20,05/99,May (Unknown Day)
21,06/41,June (1st 10 Days)
22,06/42,June (2nd 10 Days)
23,06/43,June (Last 10 Days)
24,06/99,June (Unknown Day)
25,07/41,July (1st 10 Days)
26,07/42,July (2nd 10 Days)
27,07/43,July (Last 10 Days)
28,07/99,July (Unknown Day)
29,08/41,August (1st 10 Days)
30,08/42,August (2nd 10 Days)
31,08/43,August (Last 10 Days)
32,08/99,August (Unknown Day)
33,09/41,September (1st 10 Days)
34,09/42,September (2nd 10 Days)
35,09/43,September (Last 10 Days)
36,09/99,September (Unknown Day)
37,10/41,October (1st 10 Days)
38,10/42,October (2nd 10 Days)
39,10/43,October (Last 10 Days)
40,10/99,October (Unknown Day)
41,11/41,November (1st 10 Days)
42,11/42,November (2nd 10 Days)
43,11/43,November (Last 10 Days)
44,11/99,November (Unknown Day)
45,12/41,December (1st 10 Days)
46,12/42,December (2nd 10 Days)
47,12/43,December (Last 10 Days)
48,12/99,December (Unknown Day)
49,83/99,Spring (03/20/YY thru 06/20/YY)
50,82/99,Summer (06/21/YY thru 09/21/YY)
51,92/99,Winter (12/21/YY-1 thru 03/19/YY)
52,93/99,Fall (09/22/YY thru 12/20/YY)
53,94/99,Hunting Season (09/01/YY thru 03/31/YY+1)
54,99/99,Unknown Month and Day
55,02/45,Feb (Special Hunt Season)
56,03/45,Mar (Special Hunt Season)
57,04/45,Apr (Special Hunt Season)
58,05/45,May (Special Hunt Season)
59,06/45,Jun (Special Hunt Season)
60,07/45,Jul (Special Hunt Season)
61,08/45,Aug (Special Hunt Season)
